system:index,LST,NDBI,NDVI,NDWI,.geo
63,28.24071269000001,-0.09893413081818879,0.2800514478643777,-0.2748816852293349,"{""type"":""Point"",""coordinates"":[73.11124450766441,33.694141337074456]}"
64,29.79591178999999,-0.12594596335297717,0.3169362888189985,-0.29302342782123114,"{""type"":""Point"",""coordinates"":[72.86649354837404,33.711166804291715]}"
65,33.205386739999994,-0.03618767766456929,0.16823910694994598,-0.19509319973476755,"{""type"":""Point"",""coordinates"":[72.9177998236732,33.584872001798864]}"
66,33.94197005000001,-0.012359415408672641,0.17120094628444196,-0.19966502743924167,"{""type"":""Point"",""coordinates"":[72.95923438096398,33.63501283574219]}"
67,31.88090398999998,-0.004285481263994543,0.1508827977636923,-0.1864062363142682,"{""type"":""Point"",""coordinates"":[72.89336406325445,33.65876586778092]}"
68,31.154574740000044,-0.039961969278307634,0.21792685897212846,-0.22013455572210408,"{""type"":""Point"",""coordinates"":[72.98445020235266,33.56451663142761]}"
69,28.11595496000001,-0.045668048154726665,0.17930911680911682,-0.16957308728091475,"{""type"":""Point"",""coordinates"":[72.89648349345022,33.74460521569491]}"
70,22.03529738000003,-0.11031315555723546,0.25077175278363245,-0.23892872205820329,"{""type"":""Point"",""coordinates"":[73.05487873488842,33.79231448050806]}"
71,28.96704194000006,-0.061044799255929316,0.21430598921373828,-0.22693052269305228,"{""type"":""Point"",""coordinates"":[72.93726791304898,33.78746338381485]}"
72,31.45877852000001,-0.005991912394108445,0.16368478557771102,-0.1852547383063815,"{""type"":""Point"",""coordinates"":[73.24512496833928,33.58305954302269]}"
73,33.936843020000026,-0.03700539979865158,0.16931544547643618,-0.20300113250283125,"{""type"":""Point"",""coordinates"":[72.86925015446306,33.5358727910568]}"
74,30.006120020000026,-0.09302715949911035,0.27628381027048216,-0.2533394926280941,"{""type"":""Point"",""coordinates"":[72.99078136569226,33.71102872480675]}"
75,33.85139251999999,-0.08007318985797682,0.23692000665225346,-0.257328329445177,"{""type"":""Point"",""coordinates"":[72.95043895293254,33.679857661468176]}"
76,32.74224503000005,0.003973629549354285,0.12096623922213,-0.14384982368803154,"{""type"":""Point"",""coordinates"":[73.19480831078364,33.64555696262949]}"
77,32.08085816000005,-0.06110540101455522,0.2055826568474187,-0.21980409345580668,"{""type"":""Point"",""coordinates"":[73.26811042784158,33.51074791848851]}"
78,28.775632820000055,-0.050172821539021285,0.22341372440978255,-0.20663851845658626,"{""type"":""Point"",""coordinates"":[72.91618146257487,33.74990266866641]}"
79,32.95245326000003,-0.01368032763077638,0.11164198120719859,-0.17997092335260506,"{""type"":""Point"",""coordinates"":[73.07953959322273,33.52714992973487]}"
80,30.310323799999992,-0.12993076287873975,0.2992842013001242,-0.28304812737796853,"{""type"":""Point"",""coordinates"":[72.84160466027585,33.78028208093813]}"
81,32.03471489000003,-0.09964395765810355,0.27471266495160185,-0.26154409744482093,"{""type"":""Point"",""coordinates"":[73.24349189249072,33.637369739525084]}"
82,32.14238252000001,-0.014788169464428458,0.18783625730994152,-0.19754736262872416,"{""type"":""Point"",""coordinates"":[72.8519997075324,33.54827616212105]}"
83,33.19513268000003,-0.033197219538044324,0.1954843828897064,-0.2114766081871345,"{""type"":""Point"",""coordinates"":[73.00603115796166,33.51153479798823]}"
84,30.136004780000007,-0.04523402801503246,0.177960880948714,-0.19652704446791036,"{""type"":""Point"",""coordinates"":[73.22045793843928,33.76287828342936]}"
85,34.46663612000003,-0.019816437213183144,0.16183460076045628,-0.2005963865988423,"{""type"":""Point"",""coordinates"":[72.88872660476163,33.54193029918484]}"
86,22.450586810000004,-0.17424703825222498,0.29281218230191863,-0.2657884704985387,"{""type"":""Point"",""coordinates"":[73.2155132268075,33.795755980060804]}"
87,33.44293913000001,-0.06357746788184912,0.22918781725888324,-0.23595464654198112,"{""type"":""Point"",""coordinates"":[73.22946890473455,33.50077762609918]}"
88,33.81208529000003,-0.023345022543476705,0.16473348103740387,-0.2087235841081995,"{""type"":""Point"",""coordinates"":[72.9269930524258,33.662631640342795]}"
89,34.66317227000002,-0.03688375693051321,0.14919467787114846,-0.17925409600459902,"{""type"":""Point"",""coordinates"":[73.28708134353808,33.53737425492729]}"
90,32.84649464000006,-0.01818723418339484,0.12327016467667141,-0.1432659432139141,"{""type"":""Point"",""coordinates"":[73.10365017780627,33.532657942518284]}"
91,28.86450134000006,-0.08080840330768493,0.2685778527262507,-0.2605943248678037,"{""type"":""Point"",""coordinates"":[72.93347101770459,33.79764982204549]}"
